Year Created,District Formed,District City,latitude,longitude,title,description
1983,Iroquois West CUSD 10,Gilman,40.766702,-87.992262,Iroquois West CUSD 10,Formed 1983 in Gilman
1984,South Fork SD 14,Kincaid,39.58866,-89.414536,South Fork SD 14,Formed 1984 in Kincaid
1985,River Ridge CUSD 210,Hanover,42.256405,-90.279573,River Ridge CUSD 210,Formed 1985 in Hanover
1985,Blue Ridge CUSD 18,Farmer City,40.243368,-88.642567,Blue Ridge CUSD 18,Formed 1985 in Farmer City
1985,Casey-Westfield CUSD 4C,Casey,39.299204,-87.992534,Casey-Westfield CUSD 4C,Formed 1985 in Casey
1985,Prairie Central CUSD 8,Fairbury,40.747257,-88.514779,Prairie Central CUSD 8,Formed 1985 in Fairbury
1986,Eastland CUSD 308,Lanark,42.102247,-89.833453,Eastland CUSD 308,Formed 1986 in Lanark
1987,Georgetown/Ridge Farm CUSD 4,Georgetown,39.975314,-87.635855,Georgetown/Ridge Farm CUSD 4,Formed 1987 in Georgetown
1987,Goreville CUSD 1,Goreville,37.554495,-88.972293,Goreville CUSD 1,Formed 1987 in Goreville
1987,Joppa-Maple Grove CUSD 38,Joppa,37.206442,-88.844782,Joppa-Maple Grove CUSD 38,Formed 1987 in Joppa
1987,Marengo-Union CSD 165,Marengo ,42.248633,-88.608427,Marengo-Union CSD 165,Formed 1987 in Marengo 
1987,Farmington Central CUSD 265,Farmington,40.698093,-90.005948,Farmington Central CUSD 265,Formed 1987 in Farmington
1987,Gallatin CUSD 7,Junction,37.72338,-88.236705,Gallatin CUSD 7,Formed 1987 in Junction
1988,Brussels CUSD 42,Brussels,38.949494,-90.588731,Brussels CUSD 42,Formed 1988 in Brussels
1989,Henry-Senachwine CUSD 5,Henry,41.111425,-89.356478,Henry-Senachwine CUSD 5,Formed 1989 in Henry
1989,Ridgeview CUSD 19,Colfax,40.566979,-88.616451,Ridgeview CUSD 19,Formed 1989 in Colfax
1989,Illini Central CUSD 189,Mason City,40.202266,-89.698164,Illini Central CUSD 189,Formed 1989 in Mason City
1989,Heritage CUSD 8,Homer,40.034757,-87.958089,Heritage CUSD 8,Formed 1989 in Homer
1989,South Central CUSD 401,Kinmundy,38.773381,-88.846722,South Central CUSD 401,Formed 1989 in Kinmundy
1989,North Chicago CUSD 187,North Chicago,42.325578,-87.841182,North Chicago CUSD 187,Formed 1989 in North Chicago
1989,Streator ESD 44,Streator,41.120867,-88.835352,Streator ESD 44,Formed 1989 in Streator
1989,Ashland-Chandlerville CUSD 262,Ashland,39.887826,-90.007891,Ashland-Chandlerville CUSD 262,Formed 1989 in Ashland
1990,Paxton-Buckley-Loda CUSD 10,Paxton,40.460313,-88.09532,Paxton-Buckley-Loda CUSD 10,Formed 1990 in Paxton
1990,Lemont-Bromberek CSD 113A,Lemont,41.673642,-88.001726,Lemont-Bromberek CSD 113A,Formed 1990 in Lemont
1991,West Lincoln-Broadwell CCSD 92,Lincoln,40.148377,-89.364818,West Lincoln-Broadwell CCSD 92,Formed 1991 in Lincoln
1992,Central A & M CUSD 21,Assumption,39.520319,-89.048971,Central A & M CUSD 21,Formed 1992 in Assumption
1992,Fieldcrest CUSD 6,Minonk,40.904478,-89.034522,Fieldcrest CUSD 6,Formed 1992 in Minonk
1992,Stark County CUSD 100,Wyoming,41.061704,-89.773158,Stark County CUSD 100,Formed 1992 in Wyoming
1993,Gibson City-Melvin-Sibley CUSD 5,Gibson City,40.465312,-88.375887,Gibson City-Melvin-Sibley CUSD 5,Formed 1993 in Gibson City
1993,North Shore CUSD 112,Highland Park,42.181692,-87.800344,North Shore CUSD 112,Formed 1993 in Highland Park
1993,Lostant CUSD 425,Lostant,41.142812,-89.060082,Lostant CUSD 425,Formed 1993 in Lostant
1994,Meridian CUSD 15,Macon,39.712816,-88.997022,Meridian CUSD 15,Formed 1994 in Macon
1994,Shiloh CUSD 1,Hume,39.796702,-87.868641,Shiloh CUSD 1,Formed 1994 in Hume
1995,Bureau Valley CUSD 340,Manlius,41.456424,-89.668988,Bureau Valley CUSD 340,Formed 1995 in Manlius
1995,Midland CUSD 7,Sparland,41.028647,-89.438423,Midland CUSD 7,Formed 1995 in Sparland
1997,Lewistown CUSD 97,Lewistown,40.393097,-90.154842,Lewistown CUSD 97,Formed 1997 in Lewistown
1998,Cowden-Herrick CUSD 3A,Cowden,39.248375,-88.862289,Cowden-Herrick CUSD 3A,Formed 1998 in Cowden
1998,Tower Hill CUSD 6,Tower Hill,39.387818,-88.960632,Tower Hill CUSD 6,Formed 1998 in Tower Hill
1999,Christoper CUD 99,Christopher,37.97255,-89.053408,Christoper CUD 99,Formed 1999 in Christopher
2000,Nippersink SD 2,Richmond,42.475852,-88.305925,Nippersink SD 2,Formed 2000 in Richmond
2001,Okaw Valley CUSD 302,Bethany,39.645592,-88.738125,Okaw Valley CUSD 302,Formed 2001 in Bethany
2003,West Prairie CUSD 103,Colchester,40.426431,-90.792632,West Prairie CUSD 103,Formed 2003 in Colchester
2004,Sangamon Valley CUSD 9,Niantic,39.85393,-89.166194,Sangamon Valley CUSD 9,Formed 2004 in Niantic
2004,El Paso-Gridley CUSD 11,El Paso,40.739202,-89.016463,El Paso-Gridley CUSD 11,Formed 2004 in El Paso
2004,United CUSD 304,Monmouth,40.911427,-90.647358,United CUSD 304,Formed 2004 in Monmouth
2005,West Carroll CUSD 314,Mt. Carroll,42.095023,-89.97818,West Carroll CUSD 314,Formed 2005 in Mt. Carroll
2005,West Central CUSD 235,Biggsville,40.85365,-90.864862,West Central CUSD 235,Formed 2005 in Biggsville
2005,Crescent-Iroquois CUSD 249,Crescent City,40.770035,-87.858925,Crescent-Iroquois CUSD 249,Formed 2005 in Crescent City
2005,Schuyler-Industry CUSD 5,Rushville,40.121158,-90.563183,Schuyler-Industry CUSD 5,Formed 2005 in Rushville
2005,Monmouth-Roseville CUSD 238,Monmouth,40.911427,-90.647358,Monmouth-Roseville CUSD 238,Formed 2005 in Monmouth
2006,Prairie-Ogden CCSD 197,Ogden,40.113924,-87.956145,Prairie-Ogden CCSD 197,Formed 2006 in Ogden
2007,Western CUSD 12,Barry,39.694213,-91.039025,Western CUSD 12,Formed 2007 in Barry
2007,Thompsonville CUSD 174,Thompsonville,37.917549,-88.762284,Thompsonville CUSD 174,Formed 2007 in Thompsonville
2009,Mercer County School District 404,Aledo,41.199757,-90.749306,Mercer County School District 404,Formed 2009 in Aledo
2010,North Mac CUSD 34,Girard,39.446441,-89.78093,North Mac CUSD 34,Formed 2010 in Girard
2011,Odin Public SD 722,Odin,38.617271,-89.052287,Odin Public SD 722,Formed 2011 in Odin
2013,Abingdon-Avon CUSD 276,Abingdon,40.804483,-90.401795,Abingdon-Avon CUSD 276,Formed 2013 in Abingdon
2013,East Coloma-Nelson CESD 20,Rock Falls,41.779753,-89.688997,East Coloma-Nelson CESD 20,Formed 2013 in Rock Falls
2014,Milford Area Public SD 124,Milford,40.62837,-87.69614,Milford Area Public SD 124,Formed 2014 in Milford
2015,Spring Garden CCSD 178,Mt. Vernon,38.317271,-88.90312,Spring Garden CCSD 178,Formed 2015 in Mt. Vernon
2015,Salt Fork CUD 512,Catlin,40.065036,-87.701968,Salt Fork CUD 512,Formed 2015 in Catlin
2017,Dimmick CCSD 175,LaSalle,41.36215,-89.041825,Dimmick CCSD 175,Formed 2017 in LaSalle
