NAME,STATEFP,PLACEFP,B25001_001E,total_tax_sales
Harvey,17,33383,12350.0,3024.0
Calumet City,17,10487,16220.0,2746.0
Dolton,17,20292,8726.0,2316.0
Chicago Heights,17,14026,12437.0,2160.0
Cicero,17,14351,24496.0,1985.0
Markham,17,47007,5093.0,1800.0
Maywood,17,47774,8747.0,1717.0
Riverdale,17,64278,6230.0,1458.0
Park Forest,17,57732,9349.0,1279.0
Oak Lawn,17,54820,23063.0,1230.0
Hazel Crest,17,33695,5674.0,1226.0
Des Plaines,17,19642,23154.0,1197.0
Sauk Village,17,67769,4220.0,1075.0
Country Club Hills,17,16691,6624.0,1138.0
Berwyn,17,05573,19810.0,1145.0
Lansing,17,42028,12182.0,971.0
Evanston,17,24582,31829.0,1041.0
Skokie,17,70122,24548.0,965.0
Palatine,17,57225,27886.0,972.0
Arlington Heights,17,02154,32249.0,860.0
Bellwood,17,04975,6760.0,852.0
Blue Island,17,06704,9701.0,812.0
South Holland,17,70850,7860.0,874.0
Oak Park,17,54885,23261.0,781.0
Robbins,17,64616,2177.0,688.0
Schaumburg,17,68003,32193.0,680.0
Calumet Park,17,10513,3549.0,605.0
Orland Park,17,56640,22998.0,630.0
Tinley Park,17,75484,22066.0,625.0
Matteson,17,47540,7242.0,669.0
Homewood,17,35879,7647.0,587.0
Richton Park,17,63706,5775.0,590.0
Evergreen Park,17,24634,7517.0,553.0
Wheeling,17,81087,15057.0,544.0
Melrose Park,17,48242,8357.0,560.0
Glenview,17,29938,17776.0,560.0
Hoffman Estates,17,35411,18535.0,553.0
Streamwood,17,73157,13856.0,565.0
Glenwood,17,30029,3671.0,458.0
Mount Prospect,17,51089,21408.0,469.0
Burbank,17,09642,9531.0,462.0
Midlothian,17,48892,5852.0,396.0
Northbrook,17,53481,13436.0,437.0
Morton Grove,17,50647,8790.0,386.0
Park Ridge,17,57875,14888.0,424.0
Oak Forest,17,54638,10786.0,370.0
Summit,17,73638,3631.0,343.0
Franklin Park,17,27702,6976.0,382.0
Alsip,17,01010,7491.0,346.0
Elmwood Park,17,23724,9948.0,391.0
Brookfield,17,08576,7439.0,327.0
Lynwood,17,45421,3739.0,348.0
Forest Park,17,26935,7824.0,328.0
Lyons,17,45434,4208.0,319.0
Prospect Heights,17,62016,6279.0,309.0
Elgin,17,23074,38175.0,330.0
Burnham,17,09798,1567.0,299.0
Elk Grove Village,17,23256,13901.0,296.0
Rolling Meadows,17,65338,9564.0,323.0
Steger,17,72520,4555.0,269.0
Flossmoor,17,26571,3592.0,325.0
Hanover Park,17,32746,11668.0,284.0
Niles,17,53000,11900.0,280.0
Worth,17,83518,4365.0,234.0
Northlake,17,53871,4127.0,263.0
Westchester,17,80047,7181.0,245.0
Broadview,17,08446,3619.0,265.0
Dixmoor,17,20149,1440.0,248.0
Chicago Ridge,17,14065,5500.0,230.0
Wilmette,17,82075,10078.0,234.0
Crestwood,17,17497,5632.0,222.0
Palos Hills,17,57394,7230.0,236.0
Posen,17,61314,2011.0,238.0
Schiller Park,17,68081,4648.0,237.0
Hickory Hills,17,34514,5351.0,236.0
La Grange,17,40767,5732.0,241.0
Bridgeview,17,08225,5860.0,212.0
Lemont,17,42795,6061.0,217.0
Lincolnwood,17,43744,4499.0,221.0
Olympia Fields,17,55938,2279.0,217.0
Phoenix,17,59572,880.0,219.0
Norridge,17,53377,5802.0,190.0
Stickney,17,72676,2456.0,185.0
Hillside,17,35086,3289.0,183.0
Buffalo Grove,17,09447,16430.0,194.0
South Chicago Heights,17,70629,1647.0,175.0
River Grove,17,64343,4388.0,150.0
Justice,17,38830,5074.0,159.0
River Forest,17,64304,4079.0,142.0
Ford Heights,17,26710,1225.0,153.0
Stone Park,17,72923,1457.0,139.0
Palos Heights,17,57381,5135.0,127.0
Winnetka,17,82530,4292.0,123.0
Bartlett,17,04013,14412.0,129.0
Riverside,17,64421,3394.0,115.0
Glencoe,17,29652,3325.0,119.0
Western Springs,17,80242,4562.0,106.0
Countryside,17,16873,2580.0,96.0
Palos Park,17,57407,2031.0,93.0
Berkeley,17,05404,1823.0,95.0
Willow Springs,17,82049,2367.0,99.0
Northfield,17,53663,2347.0,79.0
North Riverside,17,54144,2778.0,79.0
Inverness,17,37608,2880.0,81.0
Barrington,17,03844,4312.0,79.0
Harwood Heights,17,33435,3826.0,85.0
Thornton,17,75185,1133.0,81.0
La Grange Park,17,40793,5457.0,87.0
Hometown,17,35866,2164.0,70.0
Barrington Hills,17,03883,1614.0,69.0
East Hazel Crest,17,21904,690.0,77.0
Roselle,17,65806,8583.0,54.0
Orland Hills,17,56627,2319.0,56.0
Indian Head Park,17,37257,1788.0,53.0
Burr Ridge,17,09980,4573.0,57.0
Kenilworth,17,39519,859.0,43.0
South Barrington,17,70564,1530.0,46.0
Merrionette Park,17,48554,912.0,33.0
Hinsdale,17,35307,5985.0,38.0
Rosemont,17,65819,1864.0,32.0
Elmhurst,17,23620,16694.0,12.0
Forest View,17,26987,297.0,13.0
Bedford Park,17,04572,231.0,10.0
Hodgkins,17,35385,713.0,9.0
McCook,17,45564,119.0,5.0
