"Table 2.--Individual Income and Tax Data, by State and Size of Adjusted Gross Income, Tax Year 1996",,,,,,,
[Money amounts are in thousands of dollars],,,,,,,
,,,,,Size of adjusted gross income,,
State and item,All returns,Under,"$20,000 ","$30,000 ","$50,000 ","$75,000 ","$100,000 "
,,"$20,000 [1]",under,under,under,under,under
,,,"$30,000 ","$50,000 ","$75,000 ","$100,000 ","$200,000 "
,-1,-2,-3,-4,-5,-6,-7
UNITED STATES [2],,,,,,,
Number of returns....................................................................,"120,786,824","54,706,837","17,808,856","21,933,602","14,459,037","5,806,924","4,568,469"
Number of joint returns.........................................................,"49,183,653","9,221,460","6,184,526","12,008,179","11,403,738","5,061,044","4,008,128"
Number with paid preparer's signature................................,"53,069,786","20,842,284","7,324,987","10,234,166","7,403,731","3,127,304","2,871,838"
Number of exemptions [3]........................................................,"239,907,638","78,565,385","35,399,115","51,107,836","40,036,769","16,997,280","13,396,817"
Adjusted gross income (AGI) [4]..............................................,"4,520,288,987","455,394,113","439,194,454","856,937,581","878,679,939","496,881,042","599,028,668"
Salaries and wages in AGI:  Number...................................,"102,565,725","43,439,865","15,557,433","19,769,920","13,194,403","5,294,469","4,044,319"
Amount.............................................................................,"3,361,056,621","398,950,271","356,362,437","706,962,305","717,493,753","396,111,008","425,652,082"
Taxable interest:  Number....................................................,"66,837,410","20,004,449","8,946,361","14,699,700","12,057,608","5,312,682","4,345,582"
Amount.............................................................................,"164,928,934","29,935,783","14,808,908","23,624,676","23,089,583","13,599,899","19,974,177"
Tax-exempt interest [5]:Number........................................,"5,003,107","767,138","422,224","852,829","931,165","581,837","840,861"
Amount.............................................................................,"51,766,640","3,385,456","2,054,833","5,381,641","6,606,145","4,649,407","9,040,440"
Dividends:  Number..............................................................,"27,488,946","6,903,821","2,857,012","5,252,682","5,295,981","2,919,038","3,005,963"
Amount.............................................................................,"105,475,939","10,990,287","5,869,423","11,317,280","13,433,204","9,624,255","17,449,536"
Business or profession net income (less loss):,,,,,,,
Number............................................................................,"16,925,058","6,014,010","2,156,529","3,400,857","2,600,218","1,162,245","1,143,249"
Amount.............................................................................,"181,300,994","21,638,339","14,128,050","25,457,422","25,817,114","18,260,117","37,805,205"
Number of farm returns........................................................,"2,196,447","773,691","312,189","482,897","337,450","124,257","111,600"
Net capital gain (less loss) in AGI:  Number........................,"22,013,042","5,385,841","2,189,543","4,061,499","4,113,342","2,361,344","2,673,571"
Amount.............................................................................,"243,763,080","11,044,433","4,241,104","9,935,997","14,699,580","12,927,879","30,628,848"
Taxable Individual Retirement Arrangements,,,,,,,
distributions [6]:  Number.................................................,"5,794,339","1,784,297","937,539","1,221,724","957,077","421,783","363,183"
Amount.............................................................................,"46,087,976","6,715,597","4,742,074","7,912,386","8,605,843","5,448,257","7,806,556"
Pensions and annuities in AGI:  Number.............................,"19,019,237","6,605,368","3,023,074","3,927,286","2,969,832","1,238,868","978,840"
Amount.............................................................................,"237,631,565","45,731,422","34,155,561","52,638,841","48,109,673","24,178,386","23,661,370"
Social Security benefits in AGI:  Number.............................,"7,410,258","202,735","1,347,872","2,614,443","1,771,790","679,087","584,019"
Amount.............................................................................,"53,445,258","649,271","2,563,767","13,539,723","17,818,510","8,102,238","7,646,677"
Total statutory adjustments:  Number..................................,"18,624,703","6,092,008","2,607,420","3,947,865","2,629,223","1,225,718","1,404,347"
Amount.............................................................................,"43,510,545","5,838,396","4,006,458","7,138,560","6,307,570","4,177,969","8,197,300"
Self-employment retirement plans [6]:  Number...............,"1,131,484","47,272","54,277","144,777","218,719","167,428","306,149"
Amount.........................................................................,"9,392,831","102,858","146,726","505,845","957,953","1,016,168","3,188,404"
Total itemized deductions [7]:Number...................................,"35,509,843","3,062,150","3,374,871","8,779,329","9,763,063","4,926,272","4,203,069"
Amount.................................................................................,"583,163,413","39,369,252","34,968,323","98,231,842","131,423,177","83,843,607","99,907,932"
Medical and dental expense:  Number.................................,"5,665,534","1,691,541","1,130,741","1,593,839","852,048","248,936","131,847"
Amount.............................................................................,"33,598,656","13,087,180","5,622,525","6,889,809","4,177,344","1,669,451","1,540,272"
Taxes paid:  Number............................................................,"35,238,751","2,899,692","3,332,733","8,746,686","9,749,008","4,917,541","4,193,782"
Amount.............................................................................,"205,900,951","7,134,503","7,572,739","26,966,403","42,995,780","30,035,919","39,901,324"
Interest paid:  Number..........................................................,"29,953,795","2,019,021","2,625,273","7,473,355","8,680,378","4,375,585","3,616,865"
