"Table 2.--Individual Income and Tax Data, by State and Size of Adjusted Gross Income, Tax Year 1996",,,,,,,,,,,
[Money amounts are in thousands of dollars],,,,,,,,,,,
,,,,,Size of adjusted gross income,,,,,,
State and item,All returns,Under,"$20,000 ","$30,000 ","$50,000 ","$75,000 ","$100,000 ","$200,000 ",,,
,,"$20,000 [1]",under,under,under,under,under,or more,,,
,,,"$30,000 ","$50,000 ","$75,000 ","$100,000 ","$200,000 ",,,,
,-1,-2,-3,-4,-5,-6,-7,-8,,,
UNITED STATES [2],,,,,,,,,,,
Number of returns....................................................................,"120,786,824","54,706,837","17,808,856","21,933,602","14,459,037","5,806,924","4,568,469","1,503,099",,,
Number of joint returns.........................................................,"49,183,653","9,221,460","6,184,526","12,008,179","11,403,738","5,061,044","4,008,128","1,296,578",,,
Number with paid preparer's signature................................,"53,069,786","20,842,284","7,324,987","10,234,166","7,403,731","3,127,304","2,871,838","1,265,476",,,
Number of exemptions [3]........................................................,"239,907,638","78,565,385","35,399,115","51,107,836","40,036,769","16,997,280","13,396,817","4,404,436",,,
Adjusted gross income (AGI) [4]..............................................,"4,520,288,987","455,394,113","439,194,454","856,937,581","878,679,939","496,881,042","599,028,668","794,173,190",,,
Salaries and wages in AGI:  Number...................................,"102,565,725","43,439,865","15,557,433","19,769,920","13,194,403","5,294,469","4,044,319","1,265,316",,,
Amount.............................................................................,"3,361,056,621","398,950,271","356,362,437","706,962,305","717,493,753","396,111,008","425,652,082","359,524,765",,,
Taxable interest:  Number....................................................,"66,837,410","20,004,449","8,946,361","14,699,700","12,057,608","5,312,682","4,345,582","1,471,028",,,
Amount.............................................................................,"164,928,934","29,935,783","14,808,908","23,624,676","23,089,583","13,599,899","19,974,177","39,895,908",,,
Tax-exempt interest [5]:Number........................................,"5,003,107","767,138","422,224","852,829","931,165","581,837","840,861","607,053",,,
Amount.............................................................................,"51,766,640","3,385,456","2,054,833","5,381,641","6,606,145","4,649,407","9,040,440","20,648,718",,,
Dividends:  Number..............................................................,"27,488,946","6,903,821","2,857,012","5,252,682","5,295,981","2,919,038","3,005,963","1,254,449",,,
Amount.............................................................................,"105,475,939","10,990,287","5,869,423","11,317,280","13,433,204","9,624,255","17,449,536","36,791,954",,,
Business or profession net income (less loss):,,,,,,,,,,,
Number............................................................................,"16,925,058","6,014,010","2,156,529","3,400,857","2,600,218","1,162,245","1,143,249","447,950",,,
Amount.............................................................................,"181,300,994","21,638,339","14,128,050","25,457,422","25,817,114","18,260,117","37,805,205","38,194,747",,,
Number of farm returns........................................................,"2,196,447","773,691","312,189","482,897","337,450","124,257","111,600","54,363",,,
Net capital gain (less loss) in AGI:  Number........................,"22,013,042","5,385,841","2,189,543","4,061,499","4,113,342","2,361,344","2,673,571","1,227,902",,,
Amount.............................................................................,"243,763,080","11,044,433","4,241,104","9,935,997","14,699,580","12,927,879","30,628,848","160,285,239",,,
Taxable Individual Retirement Arrangements,,,,,,,,,,,
distributions [6]:  Number.................................................,"5,794,339","1,784,297","937,539","1,221,724","957,077","421,783","363,183","108,736",,,
Amount.............................................................................,"46,087,976","6,715,597","4,742,074","7,912,386","8,605,843","5,448,257","7,806,556","4,857,263",,,
Pensions and annuities in AGI:  Number.............................,"19,019,237","6,605,368","3,023,074","3,927,286","2,969,832","1,238,868","978,840","275,969",,,
Amount.............................................................................,"237,631,565","45,731,422","34,155,561","52,638,841","48,109,673","24,178,386","23,661,370","9,156,312",,,
Social Security benefits in AGI:  Number.............................,"7,410,258","202,735","1,347,872","2,614,443","1,771,790","679,087","584,019","210,312",,,
Amount.............................................................................,"53,445,258","649,271","2,563,767","13,539,723","17,818,510","8,102,238","7,646,677","3,125,072",,,
Total statutory adjustments:  Number..................................,"18,624,703","6,092,008","2,607,420","3,947,865","2,629,223","1,225,718","1,404,347","718,122",,,
Amount.............................................................................,"43,510,545","5,838,396","4,006,458","7,138,560","6,307,570","4,177,969","8,197,300","7,844,292",,,
Self-employment retirement plans [6]:  Number...............,"1,131,484","47,272","54,277","144,777","218,719","167,428","306,149","192,862",,,
Amount.........................................................................,"9,392,831","102,858","146,726","505,845","957,953","1,016,168","3,188,404","3,474,877",,,
Total itemized deductions [7]:Number...................................,"35,509,843","3,062,150","3,374,871","8,779,329","9,763,063","4,926,272","4,203,069","1,401,089",,,
Amount.................................................................................,"583,163,413","39,369,252","34,968,323","98,231,842","131,423,177","83,843,607","99,907,932","95,419,280",,,
Medical and dental expense:  Number.................................,"5,665,534","1,691,541","1,130,741","1,593,839","852,048","248,936","131,847","16,582",,,
Amount.............................................................................,"33,598,656","13,087,180","5,622,525","6,889,809","4,177,344","1,669,451","1,540,272","612,075",,,
Taxes paid:  Number............................................................,"35,238,751","2,899,692","3,332,733","8,746,686","9,749,008","4,917,541","4,193,782","1,399,309",,,
Amount.............................................................................,"205,900,951","7,134,503","7,572,739","26,966,403","42,995,780","30,035,919","39,901,324","51,294,283",,,
Interest paid:  Number..........................................................,"29,953,795","2,019,021","2,625,273","7,473,355","8,680,378","4,375,585","3,616,865","1,163,318",,,
Amount.............................................................................,"236,594,754","14,194,593","14,507,984","44,112,062","58,642,108","35,775,493","40,295,176","29,067,338",,,
Contributions:  Number........................................................,"31,596,952","2,082,033","2,783,555","7,685,220","8,989,517","4,679,160","4,024,755","1,352,712",,,
Amount.............................................................................,"85,245,532","2,569,056","3,859,529","11,608,847","16,329,224","10,904,688","13,997,243","25,976,945",,,
Taxable income:  Number........................................................,"96,766,112","31,161,489","17,467,548","21,832,162","14,438,089","5,801,371","4,563,987","1,501,466",,,
Amount.................................................................................,"3,081,262,307","146,302,725","239,652,581","553,279,510","616,248,377","364,432,574","463,700,854","697,645,686",,,
Total tax credits [8]:Number..................................................,"8,322,887","1,172,250","1,137,531","1,932,334","1,836,874","881,668","860,378","501,852",,,
Amount.................................................................................,"7,594,395","338,506","511,569","895,011","922,726","525,458","950,177","3,450,948",,,
Child care credit:  Number...................................................,"5,696,793","723,606","954,090","1,558,196","1,425,001","595,585","371,774","68,541",,,
Amount.............................................................................,"2,475,289","270,755","436,526","657,697","630,692","272,607","171,189","35,823",,,
Earned income credit [9]:Number.........................................,"19,404,581","16,181,261","3,223,320",--,--,--,--,,,,
Amount.................................................................................,"28,318,296","25,955,487","2,362,809",--,--,--,--,,,,
Excess earned income credit (refundable) [10]:,,,,,,,,,,,
Number............................................................................,"15,214,610","14,233,667","980,943",--,--,--,--,,,,
Amount.............................................................................,"22,672,280","22,003,281","668,999",--,--,--,--,,,,
Income tax [11]:Number........................................................,"96,250,777","30,739,435","17,398,676","21,809,291","14,435,263","5,801,453","4,564,648","1,502,011",,,
Amount.................................................................................,"661,957,933","21,937,372","35,538,426","88,034,505","106,333,639","73,226,075","109,007,331","227,880,585",,,
Total tax liability [12]:Number................................................,"99,799,777","34,122,220","17,517,814","21,845,500","14,442,472","5,803,327","4,565,999","1,502,445",,,
Amount.................................................................................,"693,528,518","27,463,908","38,484,239","93,406,988","111,584,774","76,430,749","114,079,900","232,077,960",,,
Tax due at time of filing [13]:Number....................................,"30,215,362","9,097,254","4,172,674","6,429,911","4,942,174","2,536,309","2,201,503","835,537",,,
Amount.................................................................................,"84,555,476","4,616,136","3,812,976","8,448,185","9,907,601","7,667,037","13,690,409","36,413,132",,,
Overpayments [14]:Number..................................................,"83,992,491","41,559,948","13,162,159","14,890,036","9,026,081","3,003,169","1,979,605","371,493",,,
Amount.................................................................................,"112,409,192","43,877,726","13,109,830","19,286,412","16,415,569","7,137,336","7,502,595","5,079,724",,,
"Table 2.--Individual Income and Tax Data, by State and Size of Adjusted Gross Income, Tax Year 1996",,,,,,,,,,,
[Money amounts are in thousands of dollars],,,,,,,,,,,
,,,,,Size of adjusted gross income,,,,,,
State and item,All returns,Under,"$20,000 ","$30,000 ","$50,000 ","$75,000 ","$100,000 ","$200,000 ",,,
,,"$20,000 [1]",under,under,under,under,under,or more,,,
,,,"$30,000 ","$50,000 ","$75,000 ","$100,000 ","$200,000 ",,,,
,-1,-2,-3,-4,-5,-6,-7,-8,,,
ALABAMA,,,,,,,,,,,
Number of returns....................................................................,"1,843,993","936,975","269,602","312,048","192,973","69,480","46,987","15,928",,,
Number of joint returns.........................................................,"773,830","167,131","112,286","206,894","166,653","63,926","42,779","14,161",,,
Number with paid preparer's signature................................,"943,197","427,958","137,055","177,013","113,940","41,110","31,857","14,264",,,
Number of exemptions [3]........................................................,"3,825,664","1,526,309","583,469","776,038","548,490","205,425","138,084","47,849",,,
Adjusted gross income (AGI) [4]..............................................,"58,948,033","8,697,943","6,621,208","12,155,912","11,698,160","5,927,081","6,115,532","7,732,197",,,
Salaries and wages in AGI:  Number...................................,"1,613,411","791,712","240,278","285,134","177,843","63,689","41,413","13,342",,,
Amount.............................................................................,"44,967,720","7,392,646","5,537,718","10,252,591","9,713,068","4,713,431","4,118,520","3,239,746",,,
