key	value	date
AA	108	2003
AA	106	2004
AA	107	2005
AA	100	2006
AA	129	2007
AA	106	2008
AA	93	2009
AA	81	2010
AA	99	2011
AA	136	2012
AA	153	2013
AA	114	2014
AA	213	2015
AA	199	2016
AS	10	2003
AS	18	2004
AS	30	2005
AS	22	2006
AS	28	2007
AS	37	2008
AS	46	2009
AS	23	2010
AS	25	2011
AS	23	2012
AS	22	2013
AS	12	2014
AS	40	2015
AS	75	2016
AAS	65	2003
AAS	106	2004
AAS	94	2005
AAS	97	2006
AAS	81	2007
AAS	88	2008
AAS	123	2009
AAS	116	2010
AAS	60	2011
AAS	77	2012
AAS	62	2013
AAS	70	2014
AAS	57	2015
AAS	57	2016
AGS	2	2003
AGS	1	2004
AGS	1	2005
AGS	1	2006
AGS	2	2007
AGS	3	2008
AGS	3	2009
AGS	6	2010
AGS	26	2011
AGS	73	2012
AGS	94	2013
AGS	70	2014
AGS	96	2015
AGS	100	2016
