key	value	date
AA	186	2003
AA	272	2004
AA	292	2005
AA	245	2006
AA	306	2007
AA	258	2008
AA	244	2009
AA	320	2010
AA	330	2011
AA	359	2012
AA	370	2013
AA	407	2014
AA	460	2015
AA	465	2016
AS	27	2003
AS	40	2004
AS	44	2005
AS	42	2006
AS	42	2007
AS	51	2008
AS	45	2009
AS	32	2010
AS	56	2011
AS	62	2012
AS	88	2013
AS	96	2014
AS	167	2015
AS	234	2016
AAS	52	2003
AAS	77	2004
AAS	82	2005
AAS	76	2006
AAS	78	2007
AAS	63	2008
AAS	97	2009
AAS	163	2010
AAS	148	2011
AAS	193	2012
AAS	234	2013
AAS	175	2014
AAS	194	2015
AAS	187	2016
AGS	8	2003
AGS	12	2004
AGS	10	2005
AGS	14	2006
AGS	17	2007
AGS	15	2008
AGS	50	2009
AGS	27	2010
AGS	52	2011
AGS	117	2012
AGS	161	2013
AGS	332	2014
AGS	235	2015
AGS	241	2016
AES	6	2003
AES	6	2004
AES	9	2005
AES	8	2006
AES	7	2007
AES	8	2008
AES	8	2009
AES	2	2010
AES	10	2011
AES	4	2012
AES	7	2013
AES	19	2014
AES	9	2015
AES	10	2016
AFA	0	2003
AFA	0	2004
AFA	1	2005
AFA	2	2006
AFA	1	2007
AFA	0	2008
AFA	1	2009
AFA	0	2010
AFA	2	2011
AFA	0	2012
AFA	1	2013
AFA	2	2014
AFA	1	2015
AFA	0	2016
