year	Belleville	Black Hawk	Chicago	Danville	DuPage	Elgin	Harper	Heartland	Highland	Illinois Central	Illinois Eastern	Illinois Valley	Joliet	Kankakee	Kaskaskia	Kishwaukee	Lake County	Lake Land	Lewis & Clark	Lincoln Land	Logan	McHenry	Metropolitan	Moraine Valley	Morton	Oakton	Parkland	Prairie State	Rend Lake	Rest of state	Richland	Rock Valley	Sandburg	Sauk Valley	Shawnee	South Suburban	Southeastern	Southwestern	Spoon River	Statewide	Triton	Waubonsee	Wood
1996	0.35	0.42	0.29	0.21	0.48	0.34	0.53	0.69	0.23	0.0	0.05	0.36	0.41	0.22	0.37	0.22	0.46	0.17	0.02	0.44	0.41	0.08		0.41	0.3	0.49	0.23	0.35	0.35	0.32	0.25	0.58	0.22	0.23	0.36	0.21	0.24	0.44	0.34	0.32	0.15	0.13	0.28
1997		0.35	0.4	0.33	0.2	0.51	0.33	0.55	0.71	0.23	0.0	0.05	0.35	0.39	0.14	0.42	0.2	0.46	0.17	0.03	0.5	0.36	0.07	0.42	0.42	0.34	0.46	0.25	0.41	0.33	0.38	0.29	0.58	0.24	0.27	0.45	0.21	0.3	0.42	0.33	0.19	0.15	0.2
1998		0.36	0.4	0.42	0.24	0.48	0.32	0.62	0.68	0.3	0.0	0.04	0.41	0.4	0.14	0.4	0.21	0.45	0.18	0.04	0.48	0.28	0.07	0.58	0.44	0.28	0.53	0.26	0.44	0.34	0.37	0.33	0.6	0.24	0.23	0.44	0.22	0.27	0.45	0.34	0.19	0.15	0.27
1999		0.44	0.39	0.24	0.48	0.4	0.59	0.72	0.29	0.0	0.05	0.44	0.4	0.16	0.4	0.25	0.51	0.19	0.05	0.56	0.25	0.05	0.37	0.43	0.23	0.59	0.3	0.43	0.41	0.35	0.32	0.66	0.24	0.28	0.49	0.23	0.25	0.36	0.38	0.35	0.21	0.14	0.27
2000		0.45	0.41	0.21	0.5	0.4	0.57	0.75	0.34	0.0	0.03	0.41	0.39	0.18	0.47	0.28	0.55	0.16	0.08	0.31	0.31	0.06		0.41	0.33	0.54	0.25	0.48	0.46	0.34	0.37	0.6	0.23	0.25	0.58	0.27	0.27	0.37	0.46	0.35	0.21	0.18	0.31
2001		0.42	0.47	0.09	0.48	0.43	0.68	0.75	0.35	0.0	0.01	0.42	0.38	0.21	0.43	0.26	0.53	0.18	0.08	0.36	0.31	0.06		0.41	0.33	0.55	0.24	0.49	0.49	0.34	0.36	0.63	0.24	0.27	0.57	0.25	0.29	0.37	0.51	0.35	0.23	0.17	0.36
2002		0.49	0.46	0.03	0.48	0.5	0.65	0.76	0.37	0.0	0.01	0.35	0.41	0.17	0.45	0.28	0.55	0.16	0.08	0.34	0.26	0.04		0.35	0.38	0.56	0.24	0.48	0.44	0.35	0.33	0.6	0.24	0.17	0.59	0.27	0.33	0.39	0.52	0.36	0.26	0.2	0.33
2003		0.46	0.47	0.01	0.45	0.5	0.6	0.76	0.35	0.0	0.01	0.31	0.41	0.32	0.43	0.33	0.53	0.19	0.09	0.36	0.28	0.05		0.32	0.37	0.57	0.21	0.5	0.4	0.35	0.38	0.61	0.23	0.21	0.52	0.29	0.4	0.41	0.48	0.36	0.33	0.21	0.31
2004		0.5	0.48	0.01	0.46	0.46	0.62	0.84	0.39	0.0	0.01	0.24	0.41	0.25	0.29	0.25	0.5	0.24	0.11	0.38	0.32	0.08		0.34	0.29	0.55	0.2	0.52	0.49	0.35	0.26	0.62	0.22	0.22	0.54	0.32	0.37	0.37	0.39	0.36	0.28	0.25	0.33
2005		0.43	0.49	0.0	0.44	0.48	0.61	0.75	0.43	0.0	0.01	0.24	0.37	0.23	0.37	0.27	0.53	0.2	0.1	0.41	0.29	0.06		0.34	0.29	0.53	0.18	0.46	0.36	0.34	0.31	0.59	0.26	0.19	0.5	0.27	0.34	0.38	0.39	0.35	0.28	0.28	0.24
2006		0.44	0.46	0.0	0.42	0.45	0.62	0.73	0.38	0.0	0.01	0.25	0.38	0.21	0.4	0.25	0.54	0.18	0.11	0.41	0.33	0.08		0.33	0.29	0.51	0.15	0.47	0.38	0.34	0.25	0.63	0.21	0.18	0.56	0.28	0.33	0.39	0.46	0.34	0.25	0.24	0.24
2007		0.46	0.46	0.0	0.44	0.47	0.54	0.75	0.43	0.0	0.0	0.22	0.41	0.19	0.35	0.29	0.52	0.17	0.14	0.42	0.34	0.12		0.3	0.27	0.49	0.16	0.53	0.37	0.33	0.21	0.6	0.22	0.23	0.54	0.29	0.27	0.35	0.42	0.34	0.25	0.2	0.23
2008		0.47	0.51	0.0	0.44	0.45	0.63	0.76	0.38	0.0	0.0	0.22	0.39	0.23	0.39	0.23	0.54	0.16	0.15	0.38	0.34	0.06		0.3	0.29	0.56	0.17	0.46	0.39	0.33	0.21	0.59	0.29	0.23	0.52	0.29	0.32	0.33	0.42	0.34	0.27	0.2	0.21
2009		0.44	0.43	0.0	0.42	0.46	0.6	0.76	0.35	0.0	0.0	0.23	0.36	0.23	0.39	0.24	0.53	0.18	0.11	0.42	0.27	0.09		0.32	0.31	0.51	0.16	0.52	0.31	0.33	0.32	0.59	0.25	0.18	0.53	0.32	0.28	0.34	0.33	0.34	0.27	0.18	0.27
2010		0.45	0.43	0.0	0.44	0.46	0.6	0.71	0.38	0.0	0.0	0.22	0.39	0.27	0.43	0.26	0.52	0.16	0.14	0.4	0.42	0.05		0.31	0.31	0.55	0.17	0.56	0.35	0.34	0.3	0.58	0.23	0.2	0.55	0.31	0.32	0.33	0.2	0.35	0.28	0.21	0.2
