year	Belleville	Black Hawk	Chicago	Danville	DuPage	Elgin	Harper	Heartland	Highland	Illinois Central	Illinois Eastern	Illinois Valley	Joliet	Kankakee	Kaskaskia	Kishwaukee	Lake County	Lake Land	Lewis & Clark	Lincoln Land	Logan	McHenry	Metropolitan	Moraine Valley	Morton	Oakton	Parkland	Prairie State	Rend Lake	Rest of state	Richland	Rock Valley	Sandburg	Sauk Valley	Shawnee	South Suburban	Southeastern	Southwestern	Spoon River	Statewide	Triton	Waubonsee	Wood
1996	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.47	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		0.0	0.0	0.0	0.0	0.0	0.0	0.03	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02	0.0	0.0	0.0
1997		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.51	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02	0.0	0.0	0.0
1998		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.47	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03	0.0	0.0	0.0
1999		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.48	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02	0.0	0.0	0.0
2000		0.0	0.0	0.06	0.0	0.0	0.0	0.0	0.0	0.51	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		0.0	0.0	0.0	0.0	0.0	0.0	0.03	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03	0.0	0.0	0.0
2001		0.0	0.0	0.22	0.0	0.0	0.0	0.0	0.0	0.5	0.14	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.0	0.0	0.0
2002		0.0	0.0	0.43	0.0	0.0	0.0	0.0	0.0	0.51	0.22	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.0	0.0	0.0
2003		0.0	0.0	0.42	0.0	0.0	0.0	0.0	0.0	0.51	0.26	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.0	0.0	0.0
2004		0.0	0.0	0.48	0.0	0.0	0.0	0.0	0.0	0.53	0.33	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.0	0.0	0.0
2005		0.0	0.0	0.57	0.0	0.0	0.0	0.0	0.0	0.5	0.35	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.0	0.0	0.0
2006		0.0	0.0	0.39	0.0	0.0	0.0	0.0	0.0	0.53	0.38	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.0	0.0	0.0
2007		0.0	0.0	0.45	0.0	0.0	0.0	0.0	0.0	0.49	0.33	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.0	0.0	0.0
2008		0.0	0.0	0.41	0.0	0.0	0.0	0.0	0.0	0.48	0.39	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.0	0.0	0.0
2009		0.0	0.0	0.42	0.0	0.0	0.0	0.0	0.0	0.47	0.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.13	0.04	0.0	0.0	0.0
2010		0.0	0.0	0.39	0.0	0.0	0.0	0.0	0.0	0.47	0.37	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.39	0.04	0.0	0.0	0.0
2011		0.0	0.0	0.4	0.0	0.0	0.0	0.0	0.0	0.49	0.38	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		0.0	0.0	0.0	0.0	0.0	0.0	0.05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.6	0.04	0.0	0.0	0.0
2012		0.0	0.0	0.35	0.0	0.0	0.0	0.0	0.0	0.47	0.35	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.54	0.04	0.0	0.0	0.0
2013		0.0	0.0	0.42	0.0	0.0	0.0	0.0	0.0	0.29	0.39	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		0.0	0.0	0.0	0.0	0.0	0.0	0.03	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.65	0.03	0.0	0.0	0.0
2014		0.0	0.0	0.39	0.0	0.0	0.0	0.0	0.0	0.01	0.43	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		0.0	0.0	0.0	0.0	0.0	0.0	0.02	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.62	0.02	0.0	0.0	0.0
2015		0.0	0.0	0.45	0.0	0.0	0.0	0.0	0.0	0.0	0.36	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		0.0	0.0	0.0	0.0	0.0	0.0	0.02	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.72	0.02	0.0	0.0	0.0
2016		0.0	0.0	0.41	0.0	0.0	0.0	0.0	0.0	0.0	0.38	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		0.0	0.0	0.0	0.0	0.0	0.0	0.02	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.72	0.02	0.0	0.0	0.0
