year	Belleville	Black Hawk	Chicago	Danville	DuPage	Elgin	Harper	Heartland	Highland	Illinois Central	Illinois Eastern	Illinois Valley	Joliet	Kankakee	Kaskaskia	Kishwaukee	Lake County	Lake Land	Lewis & Clark	Lincoln Land	Logan	McHenry	Metropolitan	Moraine Valley	Morton	Oakton	Parkland	Prairie State	Rend Lake	Rest of state	Richland	Rock Valley	Sandburg	Sauk Valley	Shawnee	South Suburban	Southeastern	Southwestern	Spoon River	Statewide	Triton	Waubonsee	Wood
1996	0.27	0.11	0.18	0.2	0.12	0.32	0.16	0.18	0.45	0.0	0.42	0.19	0.13	0.1	0.1	0.46	0.18	0.26	0.47	0.14	0.2	0.74		0.27	0.09	0.0	0.16	0.11	0.15	0.21	0.29	0.14	0.2	0.3	0.18	0.25	0.18	0.2	0.22	0.2	0.16	0.52	0.19
1997		0.26	0.13	0.2	0.25	0.12	0.34	0.16	0.16	0.49	0.0	0.43	0.22	0.13	0.14	0.06	0.47	0.17	0.31	0.49	0.13	0.23	0.7	0.21	0.29	0.09	0.02	0.18	0.1	0.22	0.18	0.27	0.13	0.23	0.29	0.16	0.2	0.21	0.21	0.21	0.15	0.53	0.25
1998		0.24	0.13	0.09	0.23	0.12	0.32	0.02	0.19	0.48	0.0	0.45	0.19	0.15	0.15	0.07	0.46	0.13	0.32	0.47	0.17	0.3	0.7	0.3	0.27	0.07	0.02	0.19	0.09	0.2	0.24	0.26	0.12	0.22	0.34	0.19	0.25	0.25	0.22	0.2	0.15	0.53	0.27
1999		0.13	0.09	0.25	0.12	0.26	0.05	0.17	0.49	0.0	0.42	0.19	0.13	0.15	0.08	0.48	0.13	0.28	0.48	0.13	0.31	0.69	0.21	0.28	0.07	0.02	0.18	0.1	0.2	0.21	0.26	0.14	0.29	0.37	0.16	0.23	0.22	0.22	0.22	0.2	0.16	0.58	0.28
2000		0.11	0.07	0.2	0.09	0.27	0.03	0.14	0.43	0.0	0.45	0.19	0.08	0.14	0.06	0.43	0.1	0.25	0.48	0.26	0.29	0.64		0.27	0.07	0.0	0.2	0.07	0.19	0.2	0.29	0.15	0.26	0.35	0.13	0.21	0.19	0.25	0.23	0.19	0.14	0.53	0.29
2001		0.17	0.08	0.13	0.09	0.19	0.01	0.14	0.28	0.0	0.32	0.19	0.07	0.15	0.05	0.42	0.1	0.31	0.52	0.26	0.31	0.61		0.29	0.12	0.0	0.21	0.06	0.19	0.19	0.24	0.11	0.26	0.3	0.17	0.21	0.25	0.21	0.19	0.19	0.13	0.55	0.19
2002		0.15	0.06	0.05	0.07	0.18	0.02	0.1	0.24	0.0	0.19	0.36	0.05	0.12	0.03	0.48	0.09	0.3	0.48	0.27	0.31	0.69		0.34	0.11	0.01	0.26	0.08	0.23	0.2	0.21	0.12	0.23	0.47	0.12	0.18	0.23	0.19	0.26	0.19	0.16	0.51	0.37
2003		0.14	0.07	0.02	0.08	0.16	0.02	0.14	0.27	0.0	0.18	0.4	0.06	0.09	0.04	0.41	0.1	0.27	0.49	0.26	0.29	0.68		0.36	0.09	0.01	0.31	0.11	0.25	0.19	0.21	0.1	0.18	0.35	0.14	0.23	0.26	0.19	0.22	0.18	0.14	0.55	0.33
2004		0.14	0.08	0.0	0.07	0.15	0.04	0.1	0.2	0.0	0.16	0.43	0.05	0.12	0.06	0.47	0.1	0.34	0.51	0.28	0.29	0.63		0.37	0.06	0.02	0.3	0.09	0.29	0.19	0.19	0.1	0.14	0.34	0.15	0.22	0.28	0.18	0.28	0.18	0.13	0.47	0.31
2005		0.17	0.07	0.0	0.06	0.14	0.03	0.13	0.21	0.0	0.14	0.39	0.05	0.11	0.04	0.45	0.08	0.28	0.48	0.26	0.28	0.67		0.36	0.06	0.01	0.32	0.07	0.22	0.19	0.15	0.11	0.19	0.33	0.15	0.23	0.21	0.2	0.19	0.18	0.17	0.4	0.36
