,NAME,STATEFP,PLACEFP,B25001_001E,total_tax_sales,name,line_number,rate_2017,sales_per_thousand_households
0,HARVEY,17,33383,12350.0,3024.0,HARVEY,3082,25.269000000000002,244.8582995951417
1,CALUMET CITY,17,10487,16220.0,2746.0,CALUMET CITY,1918,23.949,169.29716399506782
2,DOLTON,17,20292,8726.0,2316.0,DOLTON,2345,24.916,265.4137061654825
3,CHICAGO HEIGHTS,17,14026,12437.0,2160.0,CHICAGO HEIGHTS,1982,18.532,173.67532363110075
4,CICERO,17,14351,24496.0,1985.0,CICERO,2054,15.49,81.03363814500327
5,MARKHAM,17,47007,5093.0,1800.0,MARKHAM,3896,23.293000000000003,353.4262713528372
6,MAYWOOD,17,47774,8747.0,1717.0,MAYWOOD,3967,20.073,196.29587287069853
7,RIVERDALE,17,64278,6230.0,1458.0,RIVERDALE,5201,28.76,234.02889245585877
8,PARK FOREST,17,57732,9349.0,1279.0,PARK FOREST,4889,33.619,136.80607551609796
9,OAK LAWN,17,54820,23063.0,1230.0,OAK LAWN,4545,11.706,53.332177080171704
10,DES PLAINES,17,19642,23154.0,1197.0,DES PLAINES,2261,9.807,51.697330914744754
11,SAUK VILLAGE,17,67769,4220.0,1075.0,SAUK VILLAGE,5423,16.147000000000002,254.739336492891
12,COUNTRY CLUB HILLS,17,16691,6624.0,1138.0,COUNTRY CLUB HILLS,2081,23.726,171.79951690821258
13,BERWYN,17,5573,19810.0,1145.0,BERWYN,1569,14.008,57.79909136799596
14,LANSING,17,42028,12182.0,971.0,LANSING,3712,18.583,79.70776555573796
15,EVANSTON,17,24582,31829.0,1041.0,EVANSTON,2559,9.054,32.70602280938766
16,SKOKIE,17,70122,24548.0,965.0,SKOKIE,5546,10.184,39.31073814567378
17,PALATINE,17,57225,27886.0,972.0,PALATINE,4734,10.469000000000001,34.856200243849955
18,ARLINGTON HEIGHTS,17,2154,32249.0,860.0,ARLINGTON HEIGHTS,1266,9.896,26.66749356569196
19,BELLWOOD,17,4975,6760.0,852.0,BELLWOOD,1472,17.757,126.03550295857987
20,BLUE ISLAND,17,6704,9701.0,812.0,BLUE ISLAND,1598,14.934000000000001,83.70271106071539
21,SOUTH HOLLAND,17,70850,7860.0,874.0,SOUTH HOLLAND,5681,18.211,111.19592875318065
22,OAK PARK,17,54885,23261.0,781.0,OAK PARK,4583,12.204,33.575512660676665
23,ROBBINS,17,64616,2177.0,688.0,ROBBINS,5269,15.081,316.03123564538356
24,SCHAUMBURG,17,68003,32193.0,680.0,SCHAUMBURG,5458,10.009,21.122604292858696
25,CALUMET PARK,17,10513,3549.0,605.0,CALUMET PARK,1952,18.886,170.4705550859397
26,ORLAND PARK,17,56640,22998.0,630.0,ORLAND PARK,4688,9.122,27.393686407513698
27,TINLEY PARK,17,75484,22066.0,625.0,TINLEY PARK,5945,12.252,28.324118553430615
28,MATTESON,17,47540,7242.0,669.0,MATTESON,3933,17.31,92.37779618889809
29,HOMEWOOD,17,35879,7647.0,587.0,HOMEWOOD,3443,16.097,76.76212893945338
30,RICHTON PARK,17,63706,5775.0,590.0,RICHTON PARK,5104,17.525,102.16450216450217
31,EVERGREEN PARK,17,24634,7517.0,553.0,EVERGREEN PARK,2597,12.635,73.56658241319676
32,WHEELING,17,81087,15057.0,544.0,WHEELING,6093,11.863,36.129375041508936
33,MELROSE PARK,17,48242,8357.0,560.0,MELROSE PARK,4038,11.001,67.00969247337561
